index,group,label,smiles,PCE_stats,PCE_mean,PCE_std,Global_pop_num,Global_pop_percent,PCE < 8_pop_num,PCE < 8_pop_percent,PCE > 8_pop_num,PCE > 8_pop_percent,pop_diff,Z,Z_8.0,Z_8.5,Z_9.0,Z_9.5,Z_10.0,Z_10.5
1,core,f 1,O=C1C(C(C2=O)=CN1C)=CN2C,"{'25%': 1.9026548227159497, 'std': 1.7883499383197055, 'min': 0.0016709045059969999, 'max': 12.2669626374842, 'whishi': 7.3830420408558002, 'mean': 3.1480570331722539, 'whislo': 0.0016709045059969999, 'cilo': 2.8734829007467946, 'count': 2520.0, '50%': 2.9551834958003749, '75%': 4.0976686034958174, 'cihi': 3.0199503030592667}",3.148057033,1.788349938,3069,5.987591697,3021,5.909046455,48,36.92307692,31.01403047,14.80642922,14.80642922,11.4499671,10.57635481,10.16342248,9.601547035,8.865243902
2,core,f 2,O=C1N(C)C(C(C1=C2)=CC3=C2C4=C5C(C=CC=C53)=CC=C4)=O,"{'25%': 0.57714348334565002, 'std': 1.3324878736099217, 'min': 0.00021079476976899999, 'max': 9.3247566111792608, 'whishi': 4.9438762879395197, 'mean': 1.5900302600499205, 'whislo': 0.00021079476976899999, 'cilo': 1.1978808548649018, 'count': 1185.0, '50%': 1.2642068940001798, '75%': 2.3335164541114, 'cihi': 1.343284179329518}",1.59003026,1.332487874,2173,4.239503668,2172,4.248410758,1,0.769230769,-3.479179989,-1.977125668,-1.977125668,-1.250013578,-0.51947117,,,
3,core,f 3,O=C(N(C)C1=O)C2=CC=C3C4=C(C(N(C)C3=O)=O)C=CC1=C42,"{'25%': 0.91569579911907484, 'std': 1.7481565326021775, 'min': 0.012149609074465001, 'max': 12.393401920259302, 'whishi': 6.8633764594554005, 'mean': 2.2559733929779031, 'whislo': 0.012149609074465001, 'cilo': 1.706211985922758, 'count': 436.0, '50%': 1.8945780801556802, '75%': 3.3213454621604352, 'cihi': 2.0764402581716919}",2.255973393,1.748156533,841,1.640783518,836,1.635207824,4,3.076923077,1.441715253,1.962975573,1.962975573,1.609455554,0.454058673,0.729947811,1.072664993,1.307620112
4,spacer,f 4,FC1=NC2C=CC=CC2N=C1F,"{'25%': 0.59467247299825332, 'std': 1.2451988440849164, 'min': 0.00069181324150800001, 'max': 8.5645523798310812, 'whishi': 5.0747581115935896, 'mean': 1.5975020864270073, 'whislo': 0.00069181324150800001, 'cilo': 1.2494490197127521, 'count': 898.0, '50%': 1.3473912738844749, '75%': 2.3879566839409447, 'cihi': 1.4498014606699532}",1.597502086,1.245198844,1760,3.433744342,1758,3.438630807,2,1.538461538,-1.900169268,-1.20018232,-1.20018232,-0.999659226,,,,
5,spacer,f 5,FC1=CC2=NSN=C2C=C1,"{'25%': 0.67593144657081994, 'std': 1.4526323140334503, 'min': 0.00017454998416499998, 'max': 10.129536962325501, 'whishi': 5.5182604291691604, 'mean': 1.818925038431213, 'whislo': 0.00017454998416499998, 'cilo': 1.498872327401962, 'count': 2283.0, '50%': 1.5312817930790401, '75%': 2.6422930611471851, 'cihi': 1.592009670428276}",1.818925038,1.452632314,5066,9.88372093,5055,9.887530562,11,8.461538462,-1.425992101,-0.570913494,-0.570913494,0.227360056,1.151502284,0.633274443,-0.839148275,
6,spacer,f 6,FC1=CC2=NSN=C2C=C1F,"{'25%': 0.70413626583905509, 'std': 1.3604654966646805, 'min': 0.00034429532134099987, 'max': 9.7164032015384905, 'whishi': 5.2360557770428402, 'mean': 1.7771479751439534, 'whislo': 0.00034429532134099987, 'cilo': 1.422206208478684, 'count': 621.0, '50%': 1.5580991689408701, '75%': 2.5294748514164702, 'cihi': 1.6971204680381877}",1.777147975,1.360465497,1630,3.180115499,1628,3.184352078,2,1.538461538,-1.64589054,-1.079843385,-1.079843385,-0.912129101,-0.219320617,0.047839774,,
7,spacer,f 7,FC1=C(F)C=C(F)C(F)=C1,"{'25%': 0.58554240790058831, 'std': 1.3190328691379822, 'min': 0.0040464328684529996, 'max': 8.3951587528635496, 'whishi': 4.7577121994480702, 'mean': 1.617509419146155, 'whislo': 0.0040464328684529996, 'cilo': 1.18447783119822, 'count': 596.0, '50%': 1.2943885750044499, '75%': 2.3711281665229178, 'cihi': 1.4124091505469187}",1.617509419,1.319032869,2638,5.146714531,2637,5.15794621,1,0.769230769,-4.388715441,-2.273539984,-2.273539984,,,,,
9,spacer,f 9/f 10,O=CC(S1)=CC2=C1C3=CC(S4)=C(C=C3S2)C5=C4C=C(C=O)S5,"{'25%': 1.2105142727071998, 'std': 0.90918814390840064, 'min': 0.12879674682595502, 'max': 3.33079430160815, 'whishi': 3.33079430160815, 'mean': 1.6932100022751655, 'whislo': 0.12879674682595502, 'cilo': 1.1746208806653153, 'count': 21.0, '50%': 1.4702195778426199, '75%': 2.4096438352263703, 'cihi': 2.2936573443767321}",1.693210002,0.909188144,25,0.048774778,25,0.048899756,0,0,-0.048899756,,,,,,,
11,core,f 11,O=C1C2=CSC=C2C(C3=C(C(F)(F)F)SC(C(F)(F)F)=C31)=O,"{'25%': 0.53537123379895846, 'std': 1.6041488683760718, 'min': 0.029557953994810999, 'max': 8.4012974473185498, 'whishi': 5.34146538827365, 'mean': 1.8295482881802632, 'whislo': 0.029557953994810999, 'cilo': 1.0873428266713527, 'count': 82.0, '50%': 1.5593416235751951, '75%': 2.5179417188370472, 'cihi': 1.8646083514551601}",1.829548288,1.604148868,346,0.675042922,345,0.674816626,1,0.769230769,0.094414143,0.123603539,0.123603539,,,,,
14,spacer,f 14,C12=CC=CC3=C1N(C=C3)C4=C(C=CC=C4)S2,"{'25%': 1.3325805664231423, 'std': 2.1497643811945268, 'min': 0.0050811569265030001, 'max': 11.991670138499099, 'whishi': 8.3348213089683902, 'mean': 2.9817299678884734, 'whislo': 0.0050811569265030001, 'cilo': 2.3875279580418081, 'count': 1064.0, '50%': 2.5527107530562398, '75%': 4.1419643515391273, 'cihi': 2.712197790315912}",2.981729968,2.149764381,1701,3.318635867,1674,3.274327628,27,20.76923077,17.49490314,11.0632425,11.0632425,9.361166097,5.99685785,5.102275445,3.892789734,4.478177528
15,core,f 15/f 16,C(C1=CC=CC=C1)(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4,"{'25%': 0.54507007288204501, 'std': 1.2678582955961797, 'min': 0.0040464328684529996, 'max': 6.8464348653819513, 'whishi': 3.77276505027739, 'mean': 1.4048218262207406, 'whislo': 0.0040464328684529996, 'cilo': 0.8348541728459169, 'count': 185.0, '50%': 1.0409003654606701, '75%': 1.920475588935, 'cihi': 1.20316528398777}",1.404821826,1.267858296,476,0.928671765,476,0.931051345,0,0,-0.931051345,,,,,,,
17,spacer,f 17,O=C(C(C=C1)=CC=C1C=CC2=CC=C(C(O)=O)C=C2)O,"{'25%': 0.40485276279988375, 'std': 1.0345874155314185, 'min': 0.0025935362489869999, 'max': 4.2854454195487799, 'whishi': 3.8851414477089694, 'mean': 1.2416641261570363, 'whislo': 0.0025935362489869999, 'cilo': 0.7929151045557068, 'count': 276.0, '50%': 0.99540402236620595, '75%': 1.8011584411735904, 'cihi': 1.1264351541137358}",1.241664126,1.034587416,599,1.168643671,599,1.171638142,0,0,-1.171638142,,,,,,,
18,spacer,f 18,FC(C(F)=C(F)C(F)=C1F)=C1C=CC2=C(F)C(F)=C(F)C(F)=C2F,"{'25%': 0.31348792572971951, 'std': 1.3776267273770002, 'min': 0.0098934176174850005, 'max': 4.5234268843367316, 'whishi': 4.5234268843367316, 'mean': 1.4674358480341207, 'whislo': 0.0098934176174850005, 'cilo': 0.47624631493792741, 'count': 27.0, '50%': 1.15441053786783, '75%': 2.521356153961495, 'cihi': 1.90154746862385}",1.467435848,1.377626727,247,0.481894803,247,0.483129584,0,0,-0.483129584,,,,,,,
19,spacer,f 19,FC1=CSC2=C1SC3=C2SC=C3F,"{'25%': 0.4815248937417056, 'std': 1.2285886868915636, 'min': 0.003097099927311, 'max': 8.7227839799487601, 'whishi': 4.5127161026314999, 'mean': 1.4668902552844705, 'whislo': 0.003097099927311, 'cilo': 1.083513513085208, 'count': 455.0, '50%': 1.2061446784433001, '75%': 2.1212449884429598, 'cihi': 1.3644120971024121}",1.466890255,1.228588687,813,1.586155767,812,1.588264059,1,0.769230769,-0.819033289,-0.754707706,-0.754707706,-0.175371477,,,,
20,spacer,f 20,C1(C(C=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=C5SC=C4)C5=C6)=C6C7)=C7C=CS1,"{'25%': 0.75079332107872898, 'std': 1.3801438627764129, 'min': 0.041615655222090001, 'max': 3.9718638310878895, 'whishi': 3.9718638310878895, 'mean': 1.9020911148699726, 'whislo': 0.041615655222090001, 'cilo': 0.490840918510558, 'count': 15.0, '50%': 1.56299121883576, '75%': 3.1848281804203751, 'cihi': 3.0375139870933001}",1.902091115,1.380143863,44,0.085843609,44,0.08606357,0,0,-0.08606357,,,,,,,
21,spacer,f 21,CC1(C)C2=C(C=C(C(C)(C)C3=C4SC=C3)C4=C2)C5=C1C=CS5,"{'25%': 0.84629061601460043, 'std': 1.6110026379131965, 'min': 0.00069181324150800001, 'max': 8.4211912468424206, 'whishi': 4.884825771308889, 'mean': 2.0028110038747395, 'whislo': 0.00069181324150800001, 'cilo': 1.470823875475874, 'count': 147.0, '50%': 1.53225420877269, '75%': 2.8531428515428798, 'cihi': 1.8148603442265578}",2.002811004,1.611002638,270,0.526767598,268,0.524205379,2,1.538461538,1.014256159,1.583079523,1.583079523,,,,,
